Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
141778,Man Industries (India) Ltd - <b>INE993A01026</b>,513269,MANINDS,/Stocks?StockId=141778&Exchange=0,,bse,Man Industries
857134,Man Infraconstruction Ltd - <b>INE949H01023</b>,533169,MANINFRA,/Stocks?StockId=857134&Exchange=0,,bse,Man Infra
553808,Manugraph India Ltd. - <b>INE867A01022</b>,505324,MANUGRAPH,/Stocks?StockId=553808&Exchange=0,,bse,Manugraph India
455390,Maral Overseas Ltd - <b>INE882A01013</b>,521018,MARALOVER,/Stocks?StockId=455390&Exchange=0,,bse,Maral Overseas
420605,Marathon Nextgen Realty Ltd - <b>INE182D01020</b>,503101,MARATHON,/Stocks?StockId=420605&Exchange=0,,bse,Marathon Nextgen
441024,Marico Ltd. - <b>INE196A01026</b>,531642,MARICO,/Stocks?StockId=441024&Exchange=0,,bse,Marico
1003069,Marine Electricals (India) Ltd - <b>INE01JE01028</b>,535119,MARINE,/Stocks?StockId=1003069&Exchange=1,,nse,Marine Electric.
604869,Marksans Pharma Ltd - <b>INE750C01026</b>,524404,MARKSANS,/Stocks?StockId=604869&Exchange=0,,bse,Marksans Pharma
984862,Maruti Suzuki India Ltd - <b>INE585B01010</b>,532500,MARUTI,/Stocks?StockId=984862&Exchange=0,,bse,Maruti Suzuki
1002843,MAS Financial Services Ltd - <b>INE348L01012</b>,540749,MASFIN,/Stocks?StockId=1002843&Exchange=0,,bse,MAS FINANC SER
1002677,Mask Investments Ltd - <b>INE885F01015</b>,538376,MASKINVEST,/Stocks?StockId=1002677&Exchange=1,,nse,MASK INVESTMENTS
854419,Mastek Ltd - <b>INE759A01021</b>,523704,MASTEK,/Stocks?StockId=854419&Exchange=0,,bse,Mastek
1000415,Matrimony.Com Ltd. - <b>INE866R01028</b>,540704,MATRIMONY,/Stocks?StockId=1000415&Exchange=0,,bse,Matrimony.Com
104793,Mawana Sugars Ltd - <b>INE636A01039</b>,523371,MAWANASUG,/Stocks?StockId=104793&Exchange=0,,bse,Mawana Sugars
973213,Mawana Sugars Ltd. [Merged] - <b>INE636A01039</b>,532512,MAWANA,/Stocks?StockId=973213&Exchange=0,,bse,Mawana Sugars
